time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,temp
24.73,0.00,-0.00,1.00,-0.04,0.02,-0.05,21.32
24.78,0.00,0.00,1.00,0.02,0.02,-0.11,21.32
24.84,0.00,0.00,1.00,-0.04,0.08,-0.11,21.33
24.89,-0.00,0.00,1.00,-0.04,-0.04,-0.11,21.35
24.95,-0.00,-0.00,1.00,-0.04,0.08,-0.11,21.32
25.00,-0.00,0.00,1.00,0.02,0.02,-0.11,21.31
25.06,-0.00,-0.00,1.00,-0.04,0.02,-0.05,21.32
25.11,-0.00,-0.00,1.00,0.08,0.14,-0.23,21.33
25.16,0.00,0.00,1.00,-0.04,0.14,-0.11,21.34
25.22,-0.00,0.00,1.00,-0.04,0.14,-0.17,21.33
25.27,-0.00,0.00,1.00,-0.04,0.02,-0.11,21.35
25.33,0.00,0.00,1.00,0.02,-0.04,-0.17,21.30
25.38,0.00,0.00,1.00,-0.04,0.14,-0.05,21.35
25.43,-0.00,0.00,1.00,-0.04,0.14,-0.17,21.34
25.49,-0.00,-0.00,1.00,-0.04,0.02,-0.11,21.34
25.54,0.00,0.00,1.00,0.02,0.02,-0.05,21.34
25.60,-0.00,0.00,1.00,0.02,0.08,-0.11,21.33
25.65,-0.00,0.00,1.00,-0.04,0.08,-0.17,21.33
25.70,-0.00,0.00,1.00,0.02,0.02,-0.11,21.32
25.76,-0.00,-0.00,1.00,-0.04,0.08,-0.17,21.33
25.81,0.00,0.00,1.00,-0.04,0.02,-0.05,21.33
25.87,-0.00,0.00,1.00,0.02,0.08,-0.17,21.30
25.92,-0.00,0.00,1.00,-0.04,0.08,-0.17,21.34
25.97,-0.00,0.00,1.00,0.08,0.02,-0.11,21.31
26.03,-0.00,0.00,1.00,0.02,0.02,-0.17,21.33
26.08,0.00,0.00,1.00,0.08,0.02,-0.11,21.33
26.14,-0.00,0.00,1.00,0.02,0.08,-0.17,21.34
26.19,-0.00,0.00,1.00,0.02,0.02,-0.05,21.30
26.25,-0.00,0.00,1.00,0.08,0.08,-0.17,21.34
26.30,-0.13,0.04,1.00,0.50,0.14,-9.20,21.32
26.35,-0.01,-0.05,1.02,-4.01,1.67,1.60,21.33
26.41,0.03,-0.02,1.02,-4.62,8.69,3.62,21.32
26.46,-0.03,-0.01,1.00,-8.96,15.10,9.11,21.33
26.51,-0.03,-0.02,0.99,-5.17,9.60,8.07,21.31
26.57,-0.07,-0.01,0.97,-3.46,10.89,6.06,21.33
26.62,-0.06,-0.02,0.98,-1.63,7.83,-0.35,21.34
26.68,-0.04,-0.03,1.01,-1.75,7.04,0.75,21.32
26.73,-0.08,-0.04,0.99,2.15,34.93,3.37,21.33
26.78,-0.11,-0.03,0.98,20.34,37.56,9.05,21.32
26.84,-0.16,0.03,1.02,16.43,56.17,-0.41,21.34
26.89,-0.23,-0.03,0.96,-5.60,80.83,2.21,21.32
26.95,-0.53,0.11,0.83,-14.14,58.62,-0.23,21.34
27.00,-0.35,0.02,0.92,-15.73,30.91,0.02,21.33
27.06,-0.34,-0.00,0.93,-16.28,22.24,4.41,21.34
27.11,-0.39,-0.01,0.91,-10.79,16.68,12.65,21.35
27.16,-0.40,-0.04,0.93,-17.75,11.37,-4.38,21.34
27.22,-0.42,-0.12,0.94,-25.50,3.01,-6.58,21.34
27.27,-0.40,-0.21,0.80,-21.77,11.68,-22.57,21.33
27.33,-0.37,-0.07,0.81,36.27,14.49,-9.45,21.34
27.38,-0.39,0.02,0.91,37.86,-11.76,9.17,21.36
27.44,-0.39,0.00,0.88,22.48,1.67,11.49,21.33
27.49,-0.38,0.05,0.91,2.09,11.99,3.37,21.32
27.54,-0.45,0.02,0.88,11.55,32.19,1.85,21.34
27.60,-0.48,0.11,0.95,-15.00,55.63,1.30,21.32
27.65,-0.47,-0.01,0.87,-0.59,54.65,10.94,21.34
27.71,-0.52,0.02,0.79,-25.98,36.28,5.94,21.36
27.76,-0.57,-0.05,0.74,-13.72,49.16,-1.39,21.35
27.81,-0.58,-0.01,0.66,19.00,49.09,14.97,21.35
27.87,-0.71,0.05,0.72,0.87,23.52,5.14,21.33
27.92,-0.61,0.01,0.70,22.72,39.94,3.43,21.32
27.98,-0.65,0.05,0.73,-9.08,16.68,0.50,21.33
28.03,-0.71,0.01,0.69,19.18,45.01,0.26,21.36
28.09,-0.73,0.05,0.64,-4.56,-17.68,-5.11,21.34
28.14,-0.63,0.04,0.69,34.99,110.92,-11.28,21.33
28.19,-1.21,0.31,0.24,52.63,135.52,32.97,21.32
28.25,-0.80,0.21,0.39,-20.61,58.86,11.80,21.34
28.30,-0.98,-0.00,0.31,-21.83,6.67,-17.62,21.34
28.36,-0.85,0.07,0.41,-7.92,18.45,-14.39,21.35
28.41,-0.90,0.03,0.36,-14.57,24.62,-3.59,21.34
28.46,-0.86,-0.03,0.32,-4.93,55.87,-2.98,21.33
28.52,-0.94,0.02,0.27,-8.90,41.10,-0.96,21.34
28.57,-0.89,0.02,0.24,-9.02,33.90,-1.63,21.34
28.63,-0.89,-0.03,0.23,6.91,54.04,-1.08,21.35
28.68,-0.92,-0.00,0.15,-8.59,33.16,-6.70,21.34
28.73,-0.95,0.02,0.16,1.42,32.19,-7.98,21.33
28.79,-0.92,0.01,0.12,0.99,35.97,-6.27,21.35
28.84,-0.91,0.00,0.08,-9.20,18.82,-8.04,21.35
28.90,-0.95,-0.03,0.06,-4.62,24.19,-11.89,21.36
28.95,-0.95,-0.03,0.04,-10.85,10.52,-9.02,21.32
29.01,-0.91,-0.03,0.03,-9.87,1.06,-6.09,21.34
29.06,-0.94,-0.06,0.01,-1.08,-10.72,-0.78,21.37
29.11,-0.93,-0.04,0.05,4.23,-32.14,0.69,21.34
29.17,-0.99,-0.06,0.09,2.82,-54.18,3.07,21.34
29.22,-0.89,-0.01,0.22,11.00,-94.89,13.20,21.33
29.28,-0.90,-0.02,0.25,17.23,-78.47,3.25,21.34
29.33,-0.82,-0.03,0.35,12.04,-118.94,-4.56,21.36
29.38,-0.82,-0.03,0.31,80.03,-216.90,-17.75,21.31
29.44,-0.76,0.02,0.59,24.31,-81.03,5.94,21.36
29.49,-0.70,0.06,0.70,4.11,-98.85,8.50,21.34
29.55,-0.59,0.08,0.77,12.10,-107.22,2.82,21.31
29.60,-0.56,0.07,0.78,13.08,-104.47,12.95,21.33
29.66,-0.48,0.08,0.83,3.56,-93.00,0.08,21.36
29.71,-0.33,0.06,0.88,-37.70,-104.71,-14.45,21.33
29.76,-0.36,-0.02,0.94,-54.55,-115.46,-18.05,21.31
29.82,-0.10,-0.01,0.97,-16.04,-80.42,-6.45,21.33
29.87,-0.15,-0.02,0.92,30.84,-40.20,9.66,21.35
29.93,-0.01,0.12,0.99,43.78,-45.69,25.16,21.35
29.98,-0.05,0.02,0.98,-7.98,-42.34,-1.51,21.33
30.03,-0.04,0.10,0.97,4.59,-64.68,6.91,21.34
30.09,0.05,0.06,0.89,-29.22,-27.75,-22.32,21.34
30.14,-0.02,-0.08,1.09,-20.43,-51.55,10.88,21.35
30.20,0.16,-0.03,0.97,12.04,13.63,-8.47,21.34
30.25,0.10,0.03,1.10,27.73,6.31,5.94,21.34
30.31,0.14,0.09,0.90,19.85,39.33,-1.75,21.33
30.36,0.13,0.12,1.09,-32.52,8.87,4.59,21.31
30.41,-0.05,-0.00,1.16,10.76,34.02,-3.10,21.34
30.47,0.03,-0.03,1.01,-8.10,25.35,8.87,21.33
30.52,-0.02,-0.00,0.99,0.02,8.93,2.09,21.33
30.58,-0.02,-0.03,0.97,30.66,-4.86,5.20,21.34
30.63,0.04,0.08,0.97,35.23,-14.14,0.87,21.34
30.69,0.04,0.13,1.03,53.97,-38.49,9.84,21.34
30.74,0.04,0.19,1.03,73.20,-24.39,-1.21,21.34
30.79,0.05,0.25,1.01,84.18,-14.99,-11.34,21.37
30.85,0.05,0.30,0.97,79.00,-14.99,-10.42,21.37
30.90,0.12,0.43,0.96,64.71,-16.46,-9.63,21.33
30.96,0.10,0.38,0.83,90.90,-29.76,2.46,21.34
31.01,0.18,0.52,0.82,104.39,-45.94,9.60,21.32
31.06,0.13,0.66,0.86,121.90,-24.88,1.66,21.32
31.12,0.16,0.67,0.69,127.58,-30.07,2.58,21.34
31.17,0.23,0.83,0.61,130.81,-39.28,0.44,21.34
31.23,0.12,0.87,0.46,116.65,-25.43,9.11,21.32
31.28,0.26,0.85,0.41,82.35,-17.13,-5.60,21.34
31.34,0.22,0.92,0.33,75.70,-7.91,-5.48,21.34
31.39,0.23,0.93,0.25,79.42,-0.04,-7.49,21.33
31.44,0.22,0.97,0.19,98.10,-10.60,1.66,21.34
31.50,0.26,1.02,0.08,72.40,-3.58,-5.11,21.33
31.55,0.23,1.02,0.01,68.62,-15.05,-1.08,21.32
31.61,0.21,0.99,0.00,35.90,-5.17,-9.02,21.34
31.66,0.23,1.00,-0.06,27.05,-4.62,-1.75,21.33
31.71,0.23,0.95,-0.08,6.67,4.36,-1.88,21.36
31.77,0.22,1.01,-0.07,-2.43,-5.72,2.09,21.35
31.82,0.25,0.98,-0.05,-53.33,8.14,2.94,21.36
31.88,0.24,1.04,-0.01,-84.52,13.51,12.16,21.34
31.93,0.18,0.91,0.29,-186.45,-20.42,-0.96,21.33
31.98,0.29,0.92,0.30,-190.47,53.92,-4.99,21.35
32.04,0.15,0.86,0.52,-181.26,71.98,-5.48,21.35
32.09,0.24,0.79,0.58,-148.42,54.28,-18.36,21.37
32.15,0.11,0.68,0.75,-168.01,50.80,-9.20,21.37
32.20,0.03,0.47,0.80,-160.93,44.39,-15.79,21.34
32.26,0.04,0.40,0.95,-197.37,13.76,-4.99,21.36
32.31,0.06,0.21,0.94,-141.16,6.31,-12.37,21.34
32.37,0.03,0.11,0.99,-95.02,-1.08,-6.21,21.36
32.42,0.06,0.09,1.03,-12.37,-3.21,-1.82,21.34
32.47,0.06,0.07,1.07,-0.66,-1.02,-6.15,21.36
32.53,0.08,0.08,1.08,-6.64,-6.87,-1.33,21.37
32.58,0.06,0.08,1.04,18.14,4.05,1.72,21.34
32.63,0.02,0.08,0.99,-3.52,1.12,2.40,21.35
32.69,0.02,0.06,1.03,-16.40,-1.56,-2.98,21.37
32.74,0.03,0.05,1.02,-13.96,-2.85,-6.21,21.36
32.80,0.04,0.04,1.01,-6.88,1.98,-10.06,21.37
32.85,0.04,0.05,1.01,-11.21,4.05,-2.91,21.35
32.91,0.02,0.02,0.97,-22.93,6.25,-0.23,21.37
32.96,0.03,0.01,0.97,-30.26,5.09,-4.32,21.37
33.01,0.03,-0.03,0.97,-26.41,0.94,-1.08,21.34
33.07,0.02,-0.06,0.99,-10.67,5.33,-2.00,21.33
33.12,0.01,-0.07,0.96,7.52,-1.81,0.32,21.35
33.18,0.02,-0.05,1.01,3.19,-1.14,0.26,21.35
33.23,0.01,-0.03,1.00,2.40,-0.83,-1.21,21.34
33.29,0.02,-0.04,1.00,-2.91,-8.46,-1.08,21.36
33.34,0.03,-0.04,0.98,-8.83,-13.71,-1.14,21.35
33.39,0.07,-0.06,1.03,-6.70,-4.86,-1.45,21.34
33.45,0.04,-0.06,1.01,0.08,4.11,0.20,21.33
33.50,0.04,-0.07,0.98,-1.14,7.22,0.50,21.35
33.56,0.03,-0.06,0.96,12.04,1.61,1.97,21.35
33.61,0.06,-0.05,1.01,6.18,-2.97,0.69,21.34
33.66,0.04,-0.03,0.98,9.11,-1.63,2.09,21.34
33.72,0.02,-0.03,0.99,0.69,-0.47,-0.72,21.36
33.77,0.04,-0.04,1.01,-10.67,-3.82,-2.18,21.35
33.83,0.05,-0.04,1.00,2.09,-4.13,1.30,21.35
33.88,0.05,-0.05,1.01,2.70,-3.15,2.27,21.31
33.93,0.03,-0.05,1.02,-1.75,-1.02,0.87,21.34
33.99,0.07,-0.05,1.00,-1.33,-6.39,0.14,21.33
34.04,0.06,-0.04,1.01,-1.33,1.12,1.54,21.31
34.10,0.07,-0.04,0.98,0.38,-1.56,2.09,21.36
34.15,0.05,-0.05,0.97,3.62,0.27,3.13,21.36
34.20,0.04,-0.05,0.99,0.20,0.82,0.26,21.35
34.26,0.07,-0.04,1.02,-2.97,-1.81,-0.66,21.35
34.31,0.05,-0.04,1.02,-3.95,4.05,-0.41,21.36
34.37,0.05,-0.05,1.01,-1.82,2.22,-0.41,21.34
34.42,0.06,-0.05,1.00,0.99,0.33,0.75,21.36
34.47,0.05,-0.06,1.03,2.58,1.06,0.02,21.35
34.53,0.05,-0.05,0.99,3.13,4.90,1.17,21.36
34.58,0.03,-0.04,1.00,1.97,2.10,-0.17,21.35
34.64,0.07,-0.05,1.00,-3.34,-2.85,1.85,21.35
34.69,0.05,-0.06,1.01,-3.10,1.12,1.66,21.34
34.75,0.05,-0.04,1.00,-0.11,3.26,3.31,21.36
34.80,0.05,-0.05,1.01,1.05,1.18,-0.17,21.34
34.85,0.04,-0.07,1.01,-1.51,2.28,1.11,21.35
34.91,0.03,-0.04,0.99,-5.29,2.22,0.26,21.37
34.96,0.03,-0.05,0.99,0.44,2.71,0.26,21.37
35.02,0.03,-0.05,0.95,4.29,3.68,1.36,21.34
35.07,0.03,-0.06,0.99,5.33,-1.93,0.20,21.32
35.12,0.03,-0.04,1.00,-2.67,-0.71,-2.61,21.35
35.18,0.04,-0.03,0.96,-21.47,0.57,-2.91,21.35
35.23,0.04,-0.09,0.97,-49.91,-6.87,-1.69,21.36
35.29,0.04,-0.15,0.97,-67.92,-2.48,-0.05,21.35
35.34,0.04,-0.21,0.94,-70.66,-3.58,3.74,21.32
35.39,0.06,-0.29,0.97,-60.16,-9.13,0.44,21.34
35.45,0.06,-0.28,1.03,-60.04,-4.86,7.64,21.34
35.50,0.03,-0.37,0.96,-91.11,0.63,6.00,21.36
35.56,0.08,-0.48,0.94,-101.18,13.76,8.93,21.36
35.61,0.02,-0.58,0.87,-84.94,-0.10,4.71,21.34
35.66,0.00,-0.61,0.74,-73.90,3.81,0.81,21.36
35.72,0.06,-0.71,0.74,-69.08,-12.61,-6.45,21.36
35.77,0.05,-0.69,0.70,-47.16,-8.46,-9.20,21.36
35.83,0.07,-0.74,0.68,-35.51,-8.95,-5.84,21.34
35.88,0.08,-0.79,0.70,-42.89,-22.32,-9.20,21.35
35.94,0.13,-0.77,0.59,-62.42,-22.32,-10.42,21.35
35.99,0.10,-0.81,0.57,-47.96,-1.38,-2.55,21.36
36.04,0.13,-0.86,0.54,-42.04,9.24,9.78,21.37
36.10,0.10,-0.88,0.51,-3.04,10.58,7.34,21.36
36.15,0.09,-0.84,0.49,17.29,3.07,3.43,21.37
36.21,0.08,-0.82,0.51,57.14,0.14,-4.75,21.35
36.26,0.09,-0.74,0.58,84.49,9.97,-6.88,21.37
36.31,0.12,-0.65,0.59,106.22,2.04,4.71,21.34
36.37,0.07,-0.65,0.75,128.43,-11.15,-0.53,21.37
36.42,0.10,-0.52,0.78,125.26,-18.41,-2.43,21.36
36.48,0.12,-0.46,0.91,101.94,-16.40,-5.17,21.36
36.53,0.13,-0.35,0.89,99.99,-4.07,-8.90,21.36
36.59,0.14,-0.27,0.94,118.00,3.75,-5.29,21.34
36.64,0.15,-0.15,0.99,106.03,0.39,-0.17,21.37
36.69,0.14,-0.07,0.90,104.08,10.76,5.14,21.36
36.75,0.08,0.05,1.07,92.55,3.26,0.38,21.36
36.80,0.10,0.11,1.01,55.13,21.45,-3.16,21.35
36.86,0.11,0.14,1.00,20.28,26.02,-1.94,21.35
36.91,0.08,0.13,0.97,15.82,20.10,4.04,21.36
36.97,0.06,0.17,1.03,39.99,2.95,10.70,21.34
37.02,0.05,0.23,1.03,62.64,12.11,10.33,21.35
37.07,0.03,0.26,1.00,86.38,-2.36,3.49,21.36
37.13,0.03,0.37,0.99,84.61,17.48,2.03,21.35
37.18,0.08,0.51,0.93,97.31,-25.61,-3.59,21.36
37.24,0.15,0.51,0.88,111.53,-108.19,8.62,21.37
37.29,0.19,0.67,0.91,84.92,-116.49,0.81,21.34
37.34,0.32,0.67,0.74,47.81,-123.39,15.88,21.36
37.40,0.39,0.71,0.77,30.05,-142.56,21.93,21.35
37.45,0.48,0.62,0.69,-20.25,-122.72,21.99,21.33
37.51,0.54,0.65,0.64,-5.84,-80.73,8.80,21.35
37.56,0.58,0.60,0.53,-43.14,-119.85,52.26,21.36
37.62,0.68,0.56,0.56,-36.97,-65.90,51.28,21.36
37.67,0.77,0.46,0.55,-93.12,-68.52,84.00,21.34
37.72,0.77,0.39,0.52,-102.77,-22.74,82.35,21.34
37.78,0.91,0.30,0.54,-142.99,-1.50,95.11,21.38
37.83,0.84,0.16,0.53,-96.97,60.14,82.60,21.37
37.89,0.90,0.03,0.72,-98.07,113.12,108.90,21.38
37.94,0.69,-0.05,0.61,-98.74,114.10,107.44,21.37
38.00,0.59,-0.25,0.72,-74.45,197.72,130.63,21.36
38.05,0.34,-0.35,0.84,-50.15,208.95,98.77,21.34
38.10,0.14,-0.42,0.89,-54.73,186.24,72.46,21.36
38.16,0.07,-0.41,0.86,22.72,196.07,33.77,21.36
38.21,-0.13,-0.41,0.87,39.38,98.35,17.47,21.36
38.27,-0.22,-0.41,0.88,69.66,51.66,-8.96,21.36
38.32,-0.21,-0.33,0.84,108.96,20.04,-21.41,21.35
38.38,-0.15,-0.24,0.88,120.26,-12.18,-31.11,21.35
38.43,-0.14,-0.13,0.96,150.35,-28.97,-24.34,21.34
38.48,-0.11,0.10,0.98,154.86,-92.32,-15.00,21.34
38.54,-0.03,0.21,0.97,107.74,-104.41,-9.75,21.36
38.59,0.04,0.24,0.99,7.16,-59.30,-9.26,21.34
38.65,0.16,0.24,0.90,-10.30,-48.38,9.60,21.35
38.70,0.13,0.20,0.98,-11.03,-49.84,12.71,21.35
38.76,0.19,0.17,0.98,-14.14,-40.08,18.45,21.36
38.81,0.22,0.21,1.04,-35.99,-18.65,11.00,21.35
38.86,0.24,0.10,0.99,-75.30,-17.19,16.74,21.34
38.92,0.27,0.02,1.01,-78.60,0.08,12.16,21.36
38.97,0.28,-0.04,0.96,-41.00,1.12,7.71,21.35
39.03,0.25,-0.01,1.10,-34.04,31.94,7.64,21.37
39.08,0.22,-0.12,0.90,-58.21,11.44,-4.07,21.34
39.13,0.24,-0.17,1.03,0.38,0.82,7.46,21.37
39.19,0.21,-0.04,1.12,-0.59,20.22,8.80,21.36
39.24,0.15,-0.16,0.87,-12.01,14.43,1.54,21.36
39.30,0.16,-0.13,1.02,-19.15,9.12,-0.66,21.38
39.35,0.14,-0.19,1.09,-10.12,5.88,3.68,21.37
39.40,0.16,-0.21,0.97,-21.47,19.55,2.40,21.36
39.46,0.07,-0.15,0.87,-48.02,40.55,-4.38,21.38
39.51,0.10,-0.23,0.90,6.97,32.00,-0.53,21.36
39.57,-0.05,-0.14,0.90,35.11,65.70,-6.94,21.37
39.62,-0.04,-0.13,1.03,55.99,57.52,-34.90,21.34
39.68,-0.12,-0.07,1.17,40.91,36.09,4.53,21.39
39.73,-0.03,-0.06,1.04,5.27,-1.56,20.52,21.37
39.78,-0.00,-0.09,0.92,15.21,-1.75,23.21,21.37
39.84,-0.01,-0.04,0.89,45.06,-27.20,25.41,21.36
39.89,-0.08,-0.11,0.99,13.63,-42.76,10.33,21.37
39.95,-0.03,-0.08,1.02,8.68,-7.55,-1.14,21.36
40.00,0.05,-0.04,1.03,3.56,1.61,-2.61,21.37
40.05,-0.05,-0.12,0.99,3.74,3.44,-37.58,21.36
40.11,0.01,-0.05,1.01,0.20,0.94,-2.43,21.37
40.16,-0.00,0.00,1.00,0.08,-0.04,-0.11,21.36
40.22,-0.00,0.00,1.00,-0.04,0.02,-0.11,21.34
40.27,-0.02,-0.00,0.98,-1.33,10.03,-0.17,21.37
40.33,-0.01,0.00,0.99,0.08,0.21,-0.17,21.37
40.38,-0.01,-0.00,1.00,0.14,-0.53,-0.11,21.37
40.43,-0.01,0.00,1.00,-0.04,-0.16,-0.11,21.37
40.49,-0.01,0.00,1.00,-0.04,-0.04,-0.05,21.37
40.54,-0.01,-0.00,0.99,-0.04,0.02,-0.17,21.35
40.60,-0.01,0.00,1.00,-0.04,0.02,-0.17,21.36
40.65,-0.01,0.00,1.00,-0.04,0.02,-0.11,21.37
40.70,-0.01,0.00,1.00,-0.11,-0.04,-0.11,21.36
40.76,-0.01,0.00,1.00,0.02,-0.04,-0.11,21.37
40.81,-0.01,0.00,1.00,0.02,-0.10,-0.17,21.38
40.87,-0.01,0.00,1.00,-0.04,-0.10,-0.17,21.36
40.92,-0.01,0.00,1.00,-0.04,-0.04,-0.11,21.35
40.97,-0.01,-0.00,1.00,-0.04,-0.22,-0.05,21.35
41.03,-0.01,0.00,1.00,0.02,-0.04,-0.11,21.39
41.08,-0.01,0.00,1.00,0.02,0.08,-0.11,21.35
41.14,-0.01,0.00,1.00,-0.04,-0.10,-0.05,21.40
41.19,-0.01,0.00,1.00,-0.04,-0.10,-0.11,21.36
41.24,-0.01,0.00,1.00,0.02,0.02,-0.11,21.39
41.30,-0.01,0.00,1.00,-0.04,0.27,-0.17,21.36
41.35,-0.01,-0.00,1.00,-0.04,0.21,-0.17,21.38
41.41,-0.01,0.01,1.00,-0.11,-0.16,-0.11,21.39
41.46,-0.01,-0.01,1.00,0.14,-0.41,-0.05,21.38
41.51,-0.01,-0.00,1.00,-0.04,-0.10,-0.05,21.37
41.57,-0.01,-0.00,1.00,-0.04,0.08,-0.05,21.37
41.62,-0.01,-0.00,1.00,-0.04,-0.10,-0.11,21.38
41.68,-0.01,0.00,1.00,0.02,-0.16,-0.11,21.37
41.73,-0.01,0.00,1.00,0.02,0.02,-0.11,21.36
41.78,-0.01,-0.00,1.00,0.08,-0.04,-0.05,21.37
41.84,-0.01,0.00,1.00,0.08,0.02,-0.17,21.38
41.89,-0.00,-0.00,1.00,-0.11,-0.10,-0.17,21.36
41.95,-0.01,0.00,1.00,0.02,0.08,-0.17,21.34
42.00,-0.01,0.00,1.00,-0.04,0.02,-0.17,21.37
42.05,-0.01,-0.00,1.00,0.02,-0.04,-0.17,21.38
42.11,-0.01,0.00,1.00,0.02,-0.10,-0.17,21.35
42.16,-0.01,-0.00,1.00,0.02,-0.10,-0.11,21.37
42.22,-0.00,-0.00,1.00,-0.04,-0.04,-0.11,21.37
42.27,-0.01,-0.00,1.00,0.02,-0.04,-0.05,21.38
